experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic32m,plus,0.0,1200,0.071,1.0,591096,0.0,0.0
ours-cpp,sensordata,L2LN,0.1,600,0.147,0.9782,516516,0.055,0.017
ours-cpp,synthetic128m,L2,0.0,200,0.062,1.0,1124000,0.0,0.0
ours-cpp,synthetic256m,mean,0.1,1000,0.333,0.9906,1058892,0.035,0.004
ours-cpp,sensordata,L2LN,0.01,200,0.086,0.9978,785764,0.004,0.001
ours-cpp,nycdata,max,0.1,1000,0.085,0.9621,326160,0.079,0.04
ours-cpp,synthetic128m,max,0.0,800,0.127,1.0,1115856,0.0,0.0
ours-cpp,synthetic1b,multi,0.0,200,0.039,1.0,4125620,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.01,1000,0.014,1.0,376380,0.0,0.0
ours-cpp,synthetic512m,weightsum,0.0,800,0.39,1.0,2690432,0.0,0.0
ours-cpp,synthetic1m,L22,0.1,1000,0.014,0.9729,164716,0.043,0.014
ours-cpp,synthetic128m,L22,0.05,400,0.038,0.9958,760468,0.007,0.002
ours-cpp,synthetic16m,plus,0.0,1200,0.06,1.0,546308,0.0,0.0
ours-cpp,synthetic2m,mean,0.01,400,0.023,0.9939,333836,0.009,0.002
ours-cpp,stockdata,mean,0.01,1000,0.039,0.999,495004,0.001,0.0
ours-cpp,synthetic512m,max,0.1,1200,0.228,0.9926,1944456,0.007,0.003
ours-cpp,synthetic32m,weightsum,0.1,200,0.016,0.9833,309468,0.078,0.008
ours-cpp,stockdata,L2LN,0.01,1200,0.085,0.9956,573744,0.007,0.002
ours-cpp,synthetic1b,L2LN,0.1,600,0.119,0.9841,3632668,0.039,0.009
ours-cpp,soccerdata,plus,0.1,400,0.017,0.9998,245672,0.0,0.0
ours-cpp,synthetic128m,L22,0.0,1000,0.113,1.0,1187768,0.0,0.0
ours-cpp,nycdata,boxcox0,0.0,600,0.01,1.0,791124,0.0,0.0
ours-cpp,synthetic4m,plus,0.1,1000,0.016,0.9772,110600,0.059,0.011
ours-cpp,synthetic1b,L2,0.05,800,0.19,0.9909,3777168,0.03,0.004
ours-cpp,synthetic8m,minus,0.01,1000,0.027,0.9967,336376,0.006,0.001
ours-cpp,synthetic256m,L22,0.0,600,0.074,1.0,1620224,0.0,0.0
ours-cpp,synthetic512m,func1,0.0,1000,0.055,1.0,2433012,0.0,0.0
ours-cpp,nycdata,divide,0.01,600,0.026,0.9942,613176,0.008,0.004
ours-cpp,sensordata,multi,0.01,600,0.047,0.9986,695136,0.002,0.001
ours-cpp,soccerdata,L2LN,0.0,600,0.293,1.0,1003448,0.0,0.0
ours-cpp,synthetic4m,minus,0.01,400,0.011,0.9926,324948,0.009,0.002
ours-cpp,synthetic256m,L2,0.01,1200,0.233,0.996,1340736,0.009,0.001
ours-cpp,nycdata,L2LN,0.0,1200,0.769,1.0,1062408,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.0,400,0.008,1.0,526508,0.0,0.0
ours-cpp,stockdata,minus,0.01,800,0.011,1.0,452236,0.0,0.0
ours-cpp,synthetic32m,divide,0.0,400,0.021,1.0,624864,0.0,0.0
ours-cpp,synthetic256m,L22,0.05,200,0.024,0.9967,1181928,0.008,0.001
ours-cpp,synthetic512m,minus,0.1,600,0.056,0.9714,1940268,0.068,0.011
ours-cpp,soccerdata,divide,0.0,600,0.118,1.0,794220,0.0,0.0
ours-cpp,synthetic32m,mean,0.1,1000,0.076,0.9894,309168,0.035,0.004
ours-cpp,synthetic1m,variance,0.1,600,0.027,0.9772,132896,0.046,0.011
ours-cpp,synthetic1b,minus,0.0,1200,0.191,1.0,4124840,0.0,0.0
ours-cpp,synthetic32m,func1,0.01,600,0.012,1.0,410776,0.0,0.0
ours-cpp,synthetic1m,L2LN,0.1,800,0.013,0.982,171580,0.045,0.008
ours-cpp,soccerdata,divide,0.0,1200,0.158,1.0,821148,0.0,0.0
ours-cpp,nycdata,weightsum,0.0,1200,0.229,1.0,957876,0.0,0.0
ours-cpp,synthetic1m,minus,0.1,1200,0.015,0.9746,110720,0.051,0.009
ours-cpp,synthetic4m,minus,0.0,400,0.016,1.0,458120,0.0,0.0
ours-cpp,soccerdata,L22,0.1,600,0.027,0.9999,336724,0.0,0.0
ours-cpp,nycdata,boxcox0,0.1,400,0.006,1.0,255168,0.0,0.0
ours-cpp,synthetic512m,boxcox0,0.1,800,0.04,1.0,1938000,0.0,0.0
