experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic128m,mean,0.0,200,0.069,1.0,1048040,0.0,0.0
ours-cpp,synthetic256m,weightsum,0.1,400,0.064,0.9858,1060772,0.062,0.006
ours-cpp,synthetic1m,func1,0.01,200,0.002,1.0,270752,0.0,0.0
ours-cpp,synthetic1m,multi,0.1,1200,0.015,0.9846,116528,0.032,0.007
ours-cpp,nycdata,func1,0.1,600,0.013,1.0,255168,0.0,0.0
ours-cpp,synthetic64m,L22,0.01,200,0.015,0.9973,681520,0.004,0.001
ours-cpp,synthetic2m,weightsum,0.0,600,0.046,1.0,530528,0.0,0.0
ours-cpp,synthetic256m,func1,0.01,600,0.025,1.0,1201972,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.05,600,0.052,0.9879,400648,0.02,0.004
ours-cpp,synthetic256m,L2,0.05,400,0.14,0.9884,1155704,0.045,0.005
ours-cpp,sensordata,L2LN,0.01,1000,0.231,0.9957,812044,0.006,0.003
ours-cpp,soccerdata,plus,0.01,600,0.02,0.9998,563892,0.0,0.0
ours-cpp,synthetic64m,func1,0.1,200,0.01,1.0,415232,0.0,0.0
ours-cpp,synthetic16m,mean,0.05,800,0.058,0.9857,305168,0.044,0.006
ours-cpp,synthetic8m,L2LN,0.1,200,0.02,0.9903,196580,0.031,0.004
ours-cpp,synthetic512m,weightsum,0.01,600,0.196,0.9954,2376036,0.008,0.002
ours-cpp,synthetic128m,multi,0.05,800,0.074,0.9971,674260,0.006,0.001
ours-cpp,synthetic4m,minus,0.0,800,0.029,1.0,462868,0.0,0.0
ours-cpp,synthetic2m,mean,0.05,800,0.033,0.9881,230772,0.022,0.005
ours-cpp,sensordata,multi,0.05,1200,0.092,0.9921,554268,0.008,0.004
ours-cpp,synthetic1m,minus,0.0,800,0.018,1.0,406376,0.0,0.0
ours-cpp,synthetic1m,plus,0.1,800,0.01,0.9782,99760,0.05,0.01
ours-cpp,synthetic1m,variance,0.0,1200,0.062,1.0,467692,0.0,0.0
ours-cpp,synthetic8m,minus,0.1,800,0.029,0.9698,170332,0.048,0.013
ours-cpp,sensordata,L2LN,0.1,800,0.167,0.9674,519104,0.099,0.031
ours-cpp,sensordata,multi,0.01,1000,0.062,0.9975,702776,0.003,0.001
ours-cpp,synthetic64m,weightsum,0.05,400,0.067,0.9881,512388,0.024,0.005
ours-cpp,synthetic8m,plus,0.0,400,0.017,1.0,457384,0.0,0.0
ours-cpp,synthetic16m,L2LN,0.0,600,0.081,1.0,713428,0.0,0.0
ours-cpp,synthetic64m,multi,0.0,600,0.043,1.0,754056,0.0,0.0
ours-cpp,synthetic256m,mean,0.05,200,0.04,0.9867,1119992,0.037,0.006
ours-cpp,nycdata,plus,0.05,1200,0.034,0.9736,418740,0.05,0.016
ours-cpp,synthetic512m,minus,0.05,600,0.069,0.9842,2025784,0.015,0.004
ours-cpp,synthetic4m,minus,0.1,200,0.005,0.9878,112976,0.052,0.005
ours-cpp,synthetic256m,minus,0.05,800,0.065,0.9894,1094648,0.014,0.003
ours-cpp,synthetic256m,L22,0.05,1000,0.127,0.9857,1183324,0.031,0.006
ours-cpp,synthetic16m,weightsum,0.1,1200,0.071,0.9884,268468,0.031,0.005
ours-cpp,stockdata,mean,0.0,1200,0.084,1.0,640168,0.0,0.0
ours-cpp,nycdata,mean,0.0,400,0.137,1.0,845244,0.0,0.0
ours-cpp,stockdata,func1,0.01,600,0.005,1.0,443524,0.0,0.0
ours-cpp,sensordata,plus,0.1,200,0.02,0.9638,472092,0.048,0.023
ours-cpp,synthetic512m,L2LN,0.01,1000,0.375,0.9973,2428736,0.008,0.001
ours-cpp,nycdata,mean,0.05,1000,0.144,0.9746,466736,0.04,0.015
ours-cpp,synthetic2m,plus,0.05,600,0.013,0.9934,193464,0.022,0.003
ours-cpp,synthetic64m,L2LN,0.05,800,0.099,0.9889,534448,0.027,0.005
ours-cpp,synthetic32m,max,0.0,400,0.044,1.0,694936,0.0,0.0
ours-cpp,sensordata,variance,0.05,600,0.074,0.9997,580616,0.0,0.0
ours-cpp,synthetic2m,L2,0.05,1000,0.033,0.9822,258640,0.045,0.008
ours-cpp,synthetic512m,divide,0.05,600,0.073,0.9998,2057556,0.001,0.0
ours-cpp,synthetic8m,max,0.01,800,0.035,0.9941,394916,0.005,0.002
ours-cpp,synthetic16m,boxcox0,0.1,200,0.006,1.0,260236,0.0,0.0
ours-cpp,sensordata,L2LN,0.0,800,0.469,1.0,1052128,0.0,0.0
ours-cpp,synthetic256m,minus,0.1,1200,0.097,0.9796,1058528,0.046,0.007
ours-cpp,synthetic2m,divide,0.05,800,0.013,0.9909,217256,0.048,0.006
ours-cpp,soccerdata,multi,0.1,1200,0.039,0.9967,261452,0.007,0.001
ours-cpp,synthetic64m,divide,0.1,400,0.028,0.9994,415232,0.027,0.0
ours-cpp,synthetic64m,divide,0.0,1000,0.067,1.0,778072,0.0,0.0
ours-cpp,synthetic256m,L2,0.05,200,0.077,0.9905,1155704,0.032,0.004
ours-cpp,synthetic8m,max,0.01,1000,0.044,0.9947,397028,0.004,0.002
ours-cpp,synthetic1m,L22,0.0,200,0.007,1.0,506084,0.0,0.0
ours-cpp,synthetic512m,plus,0.05,200,0.028,0.9949,2007832,0.012,0.002
ours-cpp,synthetic8m,variance,0.1,1200,0.103,0.9904,170332,0.03,0.004
ours-cpp,soccerdata,L22,0.01,600,0.026,0.9999,689564,0.0,0.0
ours-cpp,synthetic1b,func1,0.01,600,0.027,1.0,3835052,0.0,0.0
ours-cpp,soccerdata,multi,0.05,200,0.008,0.9914,404596,0.019,0.005
ours-cpp,synthetic512m,L2,0.01,1000,0.449,0.9952,2368472,0.009,0.002
ours-cpp,stockdata,weightsum,0.05,800,0.038,0.9996,406036,0.0,0.0
ours-cpp,synthetic4m,func1,0.05,400,0.004,1.0,197280,0.0,0.0
ours-cpp,sensordata,weightsum,0.0,600,0.112,1.0,967532,0.0,0.0
ours-cpp,synthetic1b,divide,0.01,1000,0.142,0.9999,3916136,0.0,0.0
ours-cpp,sensordata,divide,0.1,1000,0.064,0.9966,500604,0.004,0.002
ours-cpp,synthetic1m,weightsum,0.05,600,0.016,0.9905,249900,0.018,0.004
ours-cpp,synthetic256m,minus,0.01,1000,0.108,0.9909,1235728,0.009,0.002
ours-cpp,synthetic4m,L2,0.05,1000,0.034,0.9876,277092,0.038,0.005
ours-cpp,stockdata,weightsum,0.1,600,0.029,0.9996,275564,0.001,0.0
ours-cpp,synthetic64m,max,0.05,800,0.092,0.9929,494532,0.006,0.003
ours-cpp,stockdata,func1,0.0,200,0.004,1.0,574008,0.0,0.0
ours-cpp,synthetic64m,minus,0.0,400,0.033,1.0,734532,0.0,0.0
ours-cpp,synthetic256m,func1,0.05,800,0.025,1.0,1070452,0.0,0.0
ours-cpp,soccerdata,L2,0.05,800,0.081,0.9975,480016,0.007,0.001
ours-cpp,synthetic16m,multi,0.05,1000,0.036,0.9953,281936,0.007,0.002
ours-cpp,synthetic1b,mean,0.1,600,0.118,0.986,3603340,0.06,0.006
ours-cpp,synthetic64m,L2,0.01,1200,0.154,0.9963,663764,0.005,0.001
ours-cpp,synthetic256m,variance,0.1,1000,0.327,0.9851,1060772,0.045,0.007
ours-cpp,soccerdata,minus,0.1,1000,0.033,0.9905,254060,0.011,0.004
ours-cpp,soccerdata,L22,0.1,800,0.033,0.9998,338044,0.0,0.0
ours-cpp,sensordata,divide,0.1,800,0.043,0.9963,495792,0.005,0.002
ours-cpp,synthetic2m,plus,0.05,400,0.009,0.9928,192156,0.024,0.003
ours-cpp,synthetic64m,variance,0.1,600,0.074,0.986,416208,0.065,0.006
ours-cpp,synthetic8m,L2,0.05,600,0.032,0.9916,279820,0.035,0.003
ours-cpp,synthetic64m,divide,0.01,1000,0.054,1.0,596468,0.0,0.0
ours-cpp,synthetic1m,divide,0.0,800,0.016,1.0,426400,0.0,0.0
ours-cpp,synthetic1b,L22,0.01,1200,0.139,0.9966,4040764,0.005,0.001
ours-cpp,synthetic16m,L2LN,0.05,600,0.042,0.9768,363972,0.037,0.01
ours-cpp,synthetic16m,minus,0.0,200,0.012,1.0,546836,0.0,0.0
ours-cpp,soccerdata,L2LN,0.1,1200,0.22,0.9558,384832,0.098,0.04
ours-cpp,synthetic128m,minus,0.1,1000,0.062,0.962,629996,0.053,0.016
ours-cpp,synthetic8m,L2LN,0.01,800,0.052,0.9969,442344,0.005,0.001
ours-cpp,nycdata,func1,0.01,400,0.012,1.0,592324,0.0,0.0
ours-cpp,synthetic4m,plus,0.05,200,0.004,0.9892,201860,0.023,0.005
ours-cpp,synthetic1m,func1,0.05,800,0.005,1.0,176860,0.0,0.0
ours-cpp,synthetic1m,L22,0.05,800,0.009,0.9778,257852,0.044,0.011
ours-cpp,sensordata,boxcox0,0.0,200,0.005,1.0,821940,0.0,0.0
ours-cpp,soccerdata,L2LN,0.05,1200,0.263,0.9735,557692,0.049,0.021
ours-cpp,synthetic8m,multi,0.0,1000,0.036,1.0,494068,0.0,0.0
ours-cpp,synthetic32m,boxcox0,0.0,1200,0.021,1.0,574140,0.0,0.0
ours-cpp,synthetic16m,func1,0.05,200,0.003,1.0,268468,0.0,0.0
ours-cpp,synthetic128m,L2,0.05,600,0.104,0.9893,736004,0.019,0.004
ours-cpp,sensordata,L22,0.01,200,0.027,0.9942,771376,0.008,0.004
ours-cpp,nycdata,multi,0.05,1000,0.031,0.9822,429300,0.036,0.01
ours-cpp,synthetic1b,variance,0.05,1200,0.29,0.987,3761164,0.049,0.006
ours-cpp,synthetic4m,mean,0.0,200,0.027,1.0,494004,0.0,0.0
ours-cpp,synthetic1b,func1,0.01,1000,0.053,1.0,3835316,0.0,0.0
ours-cpp,synthetic8m,boxcox0,0.1,600,0.014,1.0,170332,0.0,0.0
ours-cpp,synthetic1b,multi,0.0,1200,0.177,1.0,4147796,0.0,0.0
ours-cpp,synthetic64m,minus,0.05,1000,0.049,0.9811,435796,0.027,0.006
ours-cpp,synthetic32m,plus,0.0,600,0.037,1.0,578772,0.0,0.0
ours-cpp,synthetic16m,plus,0.01,1000,0.034,0.9943,388436,0.01,0.002
ours-cpp,nycdata,L22,0.01,200,0.016,0.9938,715356,0.009,0.004
ours-cpp,synthetic1m,minus,0.01,200,0.003,0.9948,285528,0.007,0.002
ours-cpp,nycdata,L2,0.1,800,0.114,0.9896,336932,0.019,0.005
ours-cpp,synthetic16m,mean,0.0,600,0.114,1.0,602228,0.0,0.0
ours-cpp,sensordata,weightsum,0.05,600,0.073,0.9999,603900,0.0,0.0
ours-cpp,synthetic16m,minus,0.01,1200,0.042,0.9957,404076,0.007,0.002
ours-cpp,synthetic512m,L2LN,0.01,400,0.133,0.9963,2410160,0.01,0.001
ours-cpp,synthetic8m,L2,0.01,600,0.042,0.996,402044,0.005,0.001
ours-cpp,synthetic64m,multi,0.01,1000,0.054,0.9967,583284,0.005,0.001
ours-cpp,soccerdata,minus,0.0,1000,0.042,1.0,764652,0.0,0.0
ours-cpp,synthetic1m,max,0.0,200,0.006,1.0,467956,0.0,0.0
ours-cpp,soccerdata,mean,0.05,1000,0.096,0.9902,447648,0.02,0.005
ours-cpp,synthetic1m,plus,0.01,200,0.003,0.9962,275496,0.007,0.002
ours-cpp,synthetic512m,L22,0.1,600,0.051,0.983,1971000,0.04,0.008
ours-cpp,synthetic2m,minus,0.1,800,0.012,0.9629,112208,0.077,0.016
ours-cpp,synthetic1m,variance,0.1,200,0.012,0.9721,132896,0.086,0.015
ours-cpp,synthetic128m,minus,0.01,1200,0.082,0.9925,818364,0.007,0.002
ours-cpp,nycdata,max,0.01,800,0.096,0.9994,669484,0.001,0.0
ours-cpp,synthetic128m,variance,0.0,1000,0.29,1.0,1104792,0.0,0.0
ours-cpp,synthetic2m,multi,0.01,400,0.009,0.9967,314304,0.006,0.001
ours-cpp,synthetic64m,boxcox0,0.1,400,0.015,1.0,415232,0.0,0.0
ours-cpp,synthetic128m,func1,0.05,400,0.013,1.0,638512,0.0,0.0
ours-cpp,sensordata,mean,0.05,200,0.044,0.9998,566952,0.001,0.0
ours-cpp,soccerdata,plus,0.05,400,0.014,0.9998,389264,0.0,0.0
ours-cpp,synthetic256m,divide,0.05,1200,0.079,0.9988,1119076,0.016,0.0
ours-cpp,nycdata,max,0.05,1200,0.161,0.9993,495600,0.001,0.0
ours-cpp,sensordata,multi,0.01,200,0.019,0.9939,691200,0.008,0.004
ours-cpp,synthetic2m,func1,0.01,1200,0.01,1.0,286880,0.0,0.0
ours-cpp,stockdata,variance,0.0,600,0.03,1.0,640692,0.0,0.0
ours-cpp,nycdata,L2,0.05,400,0.071,0.9882,495708,0.024,0.007
ours-cpp,nycdata,boxcox0,0.05,1000,0.015,1.0,413988,0.0,0.0
ours-cpp,synthetic16m,weightsum,0.05,600,0.044,0.9875,345956,0.041,0.005
ours-cpp,soccerdata,L22,0.01,1200,0.042,0.9999,693684,0.0,0.0
ours-cpp,synthetic64m,multi,0.05,400,0.023,0.9958,439256,0.008,0.002
ours-cpp,sensordata,max,0.1,1000,0.111,1.0,501188,0.0,0.0
ours-cpp,stockdata,minus,0.01,600,0.008,1.0,450388,0.0,0.0
ours-cpp,sensordata,minus,0.0,400,0.081,1.0,848876,0.0,0.0
ours-cpp,synthetic4m,variance,0.1,600,0.023,0.9749,147764,0.065,0.013
ours-cpp,synthetic128m,divide,0.01,400,0.029,0.9993,834920,0.001,0.0
ours-cpp,synthetic512m,max,0.01,400,0.132,0.9998,2337684,0.0,0.0
ours-cpp,synthetic32m,max,0.0,1200,0.113,1.0,701532,0.0,0.0
ours-cpp,synthetic8m,minus,0.0,400,0.018,1.0,471892,0.0,0.0
ours-cpp,synthetic32m,boxcox0,0.1,200,0.003,1.0,308256,0.0,0.0
ours-cpp,soccerdata,L2LN,0.0,1200,0.446,1.0,1045912,0.0,0.0
ours-cpp,synthetic64m,max,0.1,400,0.037,0.991,416208,0.009,0.004
ours-cpp,synthetic1b,L2,0.01,1200,0.44,0.9964,4006928,0.008,0.001
ours-cpp,synthetic256m,multi,0.05,200,0.017,0.9952,1100728,0.013,0.002
ours-cpp,synthetic512m,max,0.0,400,0.129,1.0,2624780,0.0,0.0
ours-cpp,synthetic256m,L2LN,0.01,800,0.172,0.9977,1379168,0.004,0.001
ours-cpp,synthetic1m,minus,0.1,400,0.006,0.9668,104360,0.078,0.015
ours-cpp,synthetic1m,multi,0.0,600,0.012,1.0,414268,0.0,0.0
ours-cpp,synthetic32m,plus,0.0,1000,0.06,1.0,586096,0.0,0.0
ours-cpp,synthetic64m,L2,0.0,200,0.058,1.0,857500,0.0,0.0
ours-cpp,synthetic128m,weightsum,0.05,1200,0.153,0.9891,758844,0.04,0.004
ours-cpp,synthetic1b,multi,0.05,400,0.049,0.9869,3692672,0.032,0.006
ours-cpp,synthetic512m,multi,0.05,800,0.119,0.9964,2047372,0.008,0.001
ours-cpp,synthetic4m,mean,0.05,800,0.036,0.985,246700,0.029,0.007
ours-cpp,synthetic256m,L22,0.01,400,0.035,0.9974,1360016,0.006,0.001
ours-cpp,synthetic2m,mean,0.01,1200,0.062,0.9948,350264,0.008,0.002
ours-cpp,synthetic512m,variance,0.0,1000,0.584,1.0,2615480,0.0,0.0
ours-cpp,soccerdata,variance,0.01,600,0.065,0.9993,635136,0.001,0.0
ours-cpp,synthetic16m,func1,0.1,200,0.008,1.0,260236,0.0,0.0
ours-cpp,soccerdata,L22,0.1,400,0.018,0.9999,336460,0.0,0.0
ours-cpp,synthetic4m,multi,0.1,800,0.017,0.9953,125852,0.007,0.002
ours-cpp,synthetic32m,func1,0.0,200,0.006,1.0,569996,0.0,0.0
ours-cpp,synthetic1b,plus,0.0,400,0.093,1.0,4076336,0.0,0.0
ours-cpp,synthetic32m,L2,0.01,400,0.048,0.9951,512160,0.005,0.002
ours-cpp,synthetic1b,L2LN,0.0,200,0.115,1.0,4353056,0.0,0.0
ours-cpp,synthetic16m,minus,0.0,400,0.022,1.0,548156,0.0,0.0
ours-cpp,synthetic1m,L22,0.0,1000,0.02,1.0,510568,0.0,0.0
ours-cpp,synthetic64m,L2,0.1,200,0.019,0.9832,416208,0.085,0.008
ours-cpp,synthetic16m,multi,0.05,600,0.02,0.9949,275744,0.009,0.002
ours-cpp,synthetic8m,multi,0.1,600,0.021,0.9804,170332,0.041,0.01
ours-cpp,synthetic512m,variance,0.0,600,0.266,1.0,2596232,0.0,0.0
ours-cpp,synthetic2m,weightsum,0.05,400,0.018,0.9902,262072,0.023,0.004
ours-cpp,synthetic512m,plus,0.0,600,0.091,1.0,2448856,0.0,0.0
ours-cpp,nycdata,boxcox0,0.01,1000,0.015,1.0,592324,0.0,0.0
ours-cpp,sensordata,divide,0.1,400,0.024,0.9962,495528,0.005,0.002
ours-cpp,synthetic4m,L22,0.0,800,0.027,1.0,583068,0.0,0.0
ours-cpp,stockdata,plus,0.05,600,0.009,1.0,314100,0.0,0.0
ours-cpp,synthetic8m,mean,0.0,800,0.101,1.0,526816,0.0,0.0
ours-cpp,soccerdata,plus,0.1,200,0.03,0.9998,245672,0.0,0.0
ours-cpp,synthetic16m,L2LN,0.05,1000,0.07,0.9802,369780,0.03,0.008
ours-cpp,synthetic512m,L22,0.0,200,0.047,1.0,2710324,0.0,0.0
ours-cpp,synthetic128m,mean,0.01,400,0.084,0.9932,850816,0.009,0.003
ours-cpp,synthetic64m,boxcox0,0.05,600,0.011,1.0,416508,0.0,0.0
ours-cpp,synthetic2m,multi,0.0,800,0.024,1.0,446492,0.0,0.0
ours-cpp,synthetic4m,mean,0.1,400,0.015,0.9738,136940,0.093,0.013
ours-cpp,synthetic16m,divide,0.01,800,0.033,0.9994,422496,0.001,0.0
ours-cpp,stockdata,divide,0.0,1200,0.032,1.0,613592,0.0,0.0
ours-cpp,synthetic4m,func1,0.01,200,0.003,1.0,307000,0.0,0.0
ours-cpp,synthetic256m,L2LN,0.05,400,0.078,0.9855,1187716,0.03,0.008
ours-cpp,stockdata,L2,0.01,1200,0.051,0.9999,533284,0.0,0.0
ours-cpp,stockdata,L22,0.0,400,0.007,1.0,695600,0.0,0.0
ours-cpp,synthetic32m,L2,0.05,200,0.021,0.9911,371828,0.023,0.004
ours-cpp,soccerdata,divide,0.1,1000,0.044,0.9458,269372,0.098,0.046
ours-cpp,synthetic1b,variance,0.05,200,0.065,0.9845,3742520,0.028,0.008
ours-cpp,sensordata,L2,0.05,800,0.11,1.0,596632,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.1,800,0.076,0.9871,416508,0.058,0.006
ours-cpp,nycdata,divide,0.0,800,0.051,1.0,828876,0.0,0.0
ours-cpp,synthetic1b,func1,0.01,800,0.038,1.0,3835316,0.0,0.0
ours-cpp,synthetic512m,boxcox0,0.05,400,0.02,1.0,2000172,0.0,0.0
ours-cpp,soccerdata,plus,0.01,400,0.015,0.9998,562560,0.0,0.0
ours-cpp,synthetic2m,mean,0.1,800,0.026,0.9828,134120,0.059,0.008
ours-cpp,synthetic64m,L2LN,0.01,800,0.106,0.9964,698368,0.006,0.001
ours-cpp,synthetic8m,plus,0.0,1200,0.047,1.0,471108,0.0,0.0
ours-cpp,synthetic1b,func1,0.1,1000,0.05,1.0,3598040,0.0,0.0
ours-cpp,synthetic512m,L2LN,0.1,400,0.1,0.985,1980760,0.029,0.007
ours-cpp,synthetic128m,divide,0.05,1000,0.087,0.993,686744,0.016,0.006
ours-cpp,synthetic32m,max,0.01,1200,0.087,0.9945,511712,0.005,0.002
ours-cpp,synthetic512m,multi,0.1,200,0.02,0.9657,1940268,0.085,0.019
ours-cpp,synthetic8m,minus,0.0,1000,0.044,1.0,480860,0.0,0.0
ours-cpp,synthetic4m,max,0.01,600,0.02,0.9897,386884,0.01,0.005
ours-cpp,synthetic2m,multi,0.05,800,0.013,0.9766,211184,0.048,0.012
ours-cpp,synthetic128m,L2,0.01,200,0.045,0.9942,900476,0.009,0.002
ours-cpp,synthetic2m,variance,0.05,800,0.037,0.9888,239184,0.017,0.005
ours-cpp,synthetic2m,max,0.0,200,0.009,1.0,503360,0.0,0.0
ours-cpp,synthetic2m,plus,0.01,1200,0.023,0.9947,302184,0.008,0.002
ours-cpp,synthetic8m,boxcox0,0.05,800,0.018,1.0,210308,0.0,0.0
ours-cpp,synthetic4m,L22,0.1,1000,0.019,0.9758,183728,0.045,0.012
ours-cpp,sensordata,plus,0.1,1000,0.052,0.9646,475992,0.051,0.025
ours-cpp,stockdata,multi,0.05,400,0.005,1.0,327956,0.0,0.0
ours-cpp,synthetic128m,boxcox0,0.0,800,0.02,1.0,968560,0.0,0.0
ours-cpp,synthetic16m,func1,0.05,1000,0.015,1.0,268468,0.0,0.0
ours-cpp,stockdata,max,0.1,200,0.007,1.0,253144,0.0,0.0
ours-cpp,synthetic1b,L22,0.05,1200,0.145,0.9966,3816084,0.005,0.001
ours-cpp,synthetic256m,minus,0.05,600,0.05,0.9905,1091268,0.011,0.003
ours-cpp,synthetic1m,divide,0.1,400,0.006,0.9858,116792,0.049,0.008
ours-cpp,synthetic4m,func1,0.05,800,0.007,1.0,197280,0.0,0.0
ours-cpp,nycdata,minus,0.1,600,0.018,0.9811,259332,0.028,0.012
ours-cpp,synthetic1m,weightsum,0.05,800,0.02,0.9914,251840,0.015,0.003
ours-cpp,stockdata,multi,0.1,800,0.01,1.0,204304,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.01,400,0.133,0.9958,4043432,0.008,0.002
ours-cpp,synthetic32m,multi,0.0,1200,0.064,1.0,623808,0.0,0.0
ours-cpp,synthetic16m,max,0.0,1000,0.084,1.0,648248,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.0,1000,0.222,1.0,783908,0.0,0.0
ours-cpp,synthetic256m,L2LN,0.1,600,0.083,0.9877,1060772,0.025,0.006
ours-cpp,synthetic128m,L2LN,0.05,600,0.09,0.9797,771204,0.046,0.01
ours-cpp,synthetic512m,weightsum,0.1,400,0.103,0.9833,1955760,0.061,0.008
ours-cpp,nycdata,weightsum,0.01,800,0.129,0.9941,701896,0.006,0.003
ours-cpp,synthetic1m,max,0.1,1000,0.021,0.9873,145244,0.014,0.006
ours-cpp,synthetic256m,max,0.1,200,0.03,0.9903,1060772,0.011,0.005
ours-cpp,synthetic16m,L2LN,0.01,400,0.04,0.9963,509616,0.006,0.002
ours-cpp,nycdata,weightsum,0.1,800,0.118,0.9888,353100,0.015,0.006
ours-cpp,synthetic64m,mean,0.1,200,0.038,0.9852,416208,0.031,0.007
ours-cpp,synthetic512m,divide,0.05,800,0.16,0.9998,2062500,0.001,0.0
ours-cpp,synthetic128m,plus,0.0,800,0.077,1.0,983504,0.0,0.0
ours-cpp,synthetic4m,weightsum,0.01,1200,0.061,0.9941,417728,0.008,0.002
ours-cpp,synthetic32m,minus,0.1,600,0.016,0.9702,308256,0.052,0.011
ours-cpp,stockdata,func1,0.05,1200,0.008,1.0,313016,0.0,0.0
ours-cpp,synthetic512m,max,0.05,400,0.122,0.9889,2119748,0.012,0.006
ours-cpp,synthetic512m,multi,0.05,1000,0.132,0.9774,2051064,0.049,0.011
ours-cpp,sensordata,multi,0.0,1000,0.087,1.0,889368,0.0,0.0
ours-cpp,synthetic32m,mean,0.05,400,0.038,0.9878,341824,0.049,0.005
ours-cpp,synthetic4m,multi,0.0,400,0.014,1.0,471308,0.0,0.0
ours-cpp,synthetic64m,multi,0.01,1200,0.061,0.9967,586972,0.005,0.001
ours-cpp,synthetic256m,func1,0.01,400,0.018,1.0,1201972,0.0,0.0
ours-cpp,soccerdata,L2LN,0.0,400,0.238,1.0,991576,0.0,0.0
ours-cpp,synthetic32m,L22,0.01,800,0.037,0.9988,545204,0.002,0.0
ours-cpp,synthetic128m,minus,0.05,400,0.027,0.9908,656740,0.011,0.003
ours-cpp,synthetic128m,minus,0.0,400,0.038,1.0,995880,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.05,1200,0.019,1.0,386372,0.0,0.0
ours-cpp,synthetic128m,variance,0.05,1200,0.21,0.9913,727872,0.013,0.003
ours-cpp,synthetic8m,L2LN,0.01,200,0.016,0.9952,435232,0.01,0.002
ours-cpp,soccerdata,multi,0.1,400,0.014,0.9938,257492,0.014,0.003
ours-cpp,synthetic4m,weightsum,0.0,800,0.068,1.0,570132,0.0,0.0
ours-cpp,nycdata,plus,0.1,400,0.011,0.9704,255168,0.069,0.019
ours-cpp,synthetic1b,L2,0.01,200,0.077,0.9946,3986336,0.008,0.002
ours-cpp,stockdata,boxcox0,0.0,800,0.006,1.0,574008,0.0,0.0
ours-cpp,synthetic32m,weightsum,0.1,600,0.045,0.9838,309468,0.045,0.007
ours-cpp,synthetic64m,L2,0.05,600,0.076,0.9902,501680,0.026,0.004
ours-cpp,synthetic2m,L2,0.0,400,0.037,1.0,510464,0.0,0.0
ours-cpp,synthetic32m,func1,0.0,800,0.019,1.0,569996,0.0,0.0
ours-cpp,synthetic1b,boxcox0,0.0,1200,0.056,1.0,4071356,0.0,0.0
ours-cpp,synthetic4m,multi,0.0,200,0.007,1.0,470780,0.0,0.0
ours-cpp,synthetic2m,multi,0.05,1200,0.018,0.9802,214880,0.04,0.01
ours-cpp,synthetic1m,max,0.05,1000,0.013,0.9873,235940,0.014,0.006
ours-cpp,synthetic16m,weightsum,0.01,400,0.042,0.9955,487976,0.006,0.002
ours-cpp,synthetic8m,minus,0.01,800,0.022,0.9965,332684,0.007,0.001
ours-cpp,synthetic2m,weightsum,0.05,200,0.01,0.9885,261808,0.03,0.005
ours-cpp,synthetic8m,multi,0.05,1000,0.032,0.9766,234728,0.041,0.013
ours-cpp,synthetic512m,mean,0.01,200,0.089,0.9945,2277740,0.008,0.002
ours-cpp,synthetic2m,weightsum,0.01,600,0.031,0.9946,380712,0.007,0.002
ours-cpp,synthetic512m,L2,0.05,600,0.166,0.9897,2131628,0.02,0.004
ours-cpp,synthetic256m,mean,0.0,200,0.084,1.0,1480420,0.0,0.0
ours-cpp,sensordata,max,0.01,200,0.029,1.0,742976,0.0,0.0
ours-cpp,synthetic128m,minus,0.1,1200,0.066,0.9791,629996,0.049,0.008
ours-cpp,stockdata,mean,0.0,400,0.033,1.0,618780,0.0,0.0
ours-cpp,synthetic64m,func1,0.0,600,0.016,1.0,709192,0.0,0.0
ours-cpp,synthetic128m,func1,0.05,600,0.02,1.0,638512,0.0,0.0
ours-cpp,synthetic1m,func1,0.1,1000,0.01,1.0,96560,0.0,0.0
ours-cpp,sensordata,plus,0.01,200,0.017,0.9951,662572,0.006,0.003
ours-cpp,synthetic8m,L2LN,0.1,800,0.067,0.9944,202124,0.016,0.002
ours-cpp,stockdata,minus,0.0,400,0.006,1.0,580872,0.0,0.0
ours-cpp,soccerdata,minus,0.01,600,0.022,0.9992,570392,0.002,0.0
ours-cpp,synthetic4m,minus,0.1,1200,0.019,0.9709,119576,0.06,0.013
ours-cpp,synthetic8m,multi,0.1,1000,0.036,0.9766,170332,0.041,0.013
ours-cpp,synthetic16m,mean,0.0,1200,0.185,1.0,623316,0.0,0.0
ours-cpp,sensordata,max,0.0,1000,0.124,1.0,953228,0.0,0.0
ours-cpp,soccerdata,plus,0.01,800,0.025,0.9997,565608,0.0,0.0
ours-cpp,synthetic1b,mean,0.0,1000,0.674,1.0,4211412,0.0,0.0
ours-cpp,synthetic64m,L2,0.01,600,0.083,0.9952,652260,0.007,0.002
ours-cpp,synthetic256m,boxcox0,0.01,1200,0.053,1.0,1207636,0.0,0.0
ours-cpp,synthetic32m,L22,0.0,200,0.019,1.0,753028,0.0,0.0
ours-cpp,synthetic8m,mean,0.05,1000,0.053,0.9912,256844,0.036,0.003
ours-cpp,sensordata,max,0.01,400,0.051,1.0,742976,0.0,0.0
