data,function,width,errorbound,ssim
sensordata,L2,1000,0.1,1.0
sensordata,L2,1000,1e-08,1.0
sensordata,L2,1200,0.0001,1.0
sensordata,L2,1200,0.01,1.0
sensordata,L2,1200,0.05,1.0
sensordata,L2,1200,0.1,1.0
sensordata,L2,1200,1e-08,1.0
sensordata,L2,200,0.0001,1.0
sensordata,L2,200,0.01,0.9998
sensordata,L2,200,0.05,0.9998
sensordata,L2,200,0.1,0.9998
sensordata,L2,200,1e-08,1.0
sensordata,L2,400,0.0001,1.0
sensordata,L2,400,0.01,0.9999
sensordata,L2,400,0.05,0.9999
sensordata,L2,400,0.1,0.9999
sensordata,L2,400,1e-08,1.0
sensordata,L2,600,0.0001,1.0
sensordata,L2,600,0.01,0.9999
sensordata,L2,600,0.05,0.9999
sensordata,L2,600,0.1,0.9999
sensordata,L2,600,1e-08,1.0
sensordata,L2,800,0.0001,1.0
sensordata,L2,800,0.01,1.0
sensordata,L2,800,0.05,1.0
sensordata,L2,800,0.1,1.0
sensordata,L2,800,1e-08,1.0
sensordata,L22,1000,0.0001,1.0
sensordata,L22,1000,0.01,0.9946
sensordata,L22,1000,0.05,0.9762
sensordata,L22,1000,0.1,0.9762
sensordata,L22,1000,1e-08,1.0
sensordata,L22,1200,0.0001,1.0
sensordata,L22,1200,0.01,0.9972
sensordata,L22,1200,0.05,0.9754
sensordata,L22,1200,0.1,0.9754
sensordata,L22,1200,1e-08,1.0
sensordata,L22,200,0.0001,1.0
sensordata,L22,200,0.01,0.9942
sensordata,L22,200,0.05,0.9792
sensordata,L22,200,0.1,0.9607
sensordata,L22,200,1e-08,1.0
sensordata,L22,400,0.0001,1.0
sensordata,L22,400,0.01,0.9935
sensordata,L22,400,0.05,0.9844
sensordata,L22,400,0.1,0.9656
sensordata,L22,400,1e-08,1.0
sensordata,L22,600,0.0001,1.0
sensordata,L22,600,0.01,0.9951
sensordata,L22,600,0.05,0.969
sensordata,L22,600,0.1,0.969
sensordata,L22,600,1e-08,1.0
sensordata,L22,800,0.0001,1.0
sensordata,L22,800,0.01,0.9974
sensordata,L22,800,0.05,0.9743
sensordata,L22,800,0.1,0.9743
sensordata,L22,800,1e-08,1.0
sensordata,L2LN,1000,0.0001,0.9999
sensordata,L2LN,1000,0.01,0.9957
sensordata,L2LN,1000,0.05,0.9823
sensordata,L2LN,1000,0.1,0.9787
sensordata,L2LN,1000,1e-08,1.0
sensordata,L2LN,1200,0.0001,0.9999
sensordata,L2LN,1200,0.01,0.9955
sensordata,L2LN,1200,0.05,0.9805
sensordata,L2LN,1200,0.1,0.9805
sensordata,L2LN,1200,1e-08,1.0
sensordata,L2LN,200,0.0001,0.9999
sensordata,L2LN,200,0.01,0.9978
sensordata,L2LN,200,0.05,0.981
sensordata,L2LN,200,0.1,0.9733
sensordata,L2LN,200,1e-08,1.0
sensordata,L2LN,400,0.0001,0.9999
sensordata,L2LN,400,0.01,0.996
sensordata,L2LN,400,0.05,0.9801
sensordata,L2LN,400,0.1,0.978
sensordata,L2LN,400,1e-08,1.0
sensordata,L2LN,600,0.0001,0.9999
sensordata,L2LN,600,0.01,0.9958
sensordata,L2LN,600,0.05,0.9806
sensordata,L2LN,600,0.1,0.9782
sensordata,L2LN,600,1e-08,1.0
sensordata,L2LN,800,0.0001,0.9999
sensordata,L2LN,800,0.01,0.9942
sensordata,L2LN,800,0.05,0.982
sensordata,L2LN,800,0.1,0.9674
sensordata,L2LN,800,1e-08,1.0
sensordata,max,1000,0.0001,1.0
sensordata,max,1000,0.01,1.0
sensordata,max,1000,0.05,1.0
sensordata,max,1000,0.1,1.0
sensordata,max,1000,1e-08,1.0
sensordata,max,1200,0.0001,1.0
sensordata,max,1200,0.01,1.0
sensordata,max,1200,0.05,1.0
sensordata,max,1200,0.1,1.0
sensordata,max,1200,1e-08,1.0
sensordata,max,200,0.0001,1.0
sensordata,max,200,0.01,1.0
sensordata,max,200,0.05,1.0
sensordata,max,200,0.1,1.0
sensordata,max,200,1e-08,1.0
sensordata,max,400,0.0001,1.0
sensordata,max,400,0.01,1.0
sensordata,max,400,0.05,1.0
sensordata,max,400,0.1,1.0
sensordata,max,400,1e-08,1.0
sensordata,max,600,0.0001,1.0
sensordata,max,600,0.01,1.0
sensordata,max,600,0.05,1.0
sensordata,max,600,0.1,1.0
sensordata,max,600,1e-08,1.0
sensordata,max,800,0.0001,1.0
sensordata,max,800,0.01,1.0
sensordata,max,800,0.05,1.0
sensordata,max,800,0.1,1.0
sensordata,max,800,1e-08,1.0
sensordata,mean,1000,0.0001,1.0
sensordata,mean,1000,0.01,0.9999
sensordata,mean,1000,0.05,0.9999
sensordata,mean,1000,0.1,0.9999
sensordata,mean,1000,1e-08,1.0
sensordata,mean,1200,0.0001,1.0
sensordata,mean,1200,0.01,0.9999
sensordata,mean,1200,0.05,0.9999
sensordata,mean,1200,0.1,0.9999
sensordata,mean,1200,1e-08,1.0
sensordata,mean,200,0.0001,1.0
sensordata,mean,200,0.01,0.9998
sensordata,mean,200,0.05,0.9998
sensordata,mean,200,0.1,0.9998
sensordata,mean,200,1e-08,1.0
sensordata,mean,400,0.0001,1.0
sensordata,mean,400,0.01,0.9999
sensordata,mean,400,0.05,0.9999
sensordata,mean,400,0.1,0.9999
sensordata,mean,400,1e-08,1.0
sensordata,mean,600,0.0001,1.0
sensordata,mean,600,0.01,0.9999
sensordata,mean,600,0.05,0.9999
sensordata,mean,600,0.1,0.9999
sensordata,mean,600,1e-08,1.0
sensordata,mean,800,0.0001,1.0
sensordata,mean,800,0.01,0.9999
sensordata,mean,800,0.05,0.9999
sensordata,mean,800,0.1,0.9999
sensordata,mean,800,1e-08,1.0
sensordata,minus,1000,0.0001,1.0
sensordata,minus,1000,0.01,0.9979
sensordata,minus,1000,0.05,0.9979
sensordata,minus,1000,0.1,0.9979
sensordata,minus,1000,1e-08,1.0
sensordata,minus,1200,0.0001,1.0
sensordata,minus,1200,0.01,0.9981
sensordata,minus,1200,0.05,0.9981
sensordata,minus,1200,0.1,0.9981
sensordata,minus,1200,1e-08,1.0
sensordata,minus,200,0.0001,1.0
sensordata,minus,200,0.01,0.9985
sensordata,minus,200,0.05,0.9985
sensordata,minus,200,0.1,0.9985
sensordata,minus,200,1e-08,1.0
sensordata,minus,400,0.0001,1.0
sensordata,minus,400,0.01,0.9983
sensordata,minus,400,0.05,0.9983
sensordata,minus,400,0.1,0.9983
sensordata,minus,400,1e-08,1.0
sensordata,minus,600,0.0001,1.0
sensordata,minus,600,0.01,0.9977
sensordata,minus,600,0.05,0.9977
sensordata,minus,600,0.1,0.9977
sensordata,minus,600,1e-08,1.0
sensordata,minus,800,0.0001,1.0
sensordata,minus,800,0.01,0.998
sensordata,minus,800,0.05,0.998
sensordata,minus,800,0.1,0.998
sensordata,minus,800,1e-08,1.0
sensordata,multi,1000,0.0001,1.0
sensordata,multi,1000,0.01,0.9975
sensordata,multi,1000,0.05,0.9841
sensordata,multi,1000,0.1,0.9323
sensordata,multi,1000,1e-08,1.0
sensordata,multi,1200,0.0001,1.0
sensordata,multi,1200,0.01,0.9921
sensordata,multi,1200,0.05,0.9921
sensordata,multi,1200,0.1,0.9403
sensordata,multi,1200,1e-08,1.0
sensordata,multi,200,0.0001,1.0
sensordata,multi,200,0.01,0.9939
sensordata,multi,200,0.05,0.9655
sensordata,multi,200,0.1,0.9291
sensordata,multi,200,1e-08,1.0
sensordata,multi,400,0.0001,1.0
sensordata,multi,400,0.01,0.9999
sensordata,multi,400,0.05,0.9754
sensordata,multi,400,0.1,0.9512
sensordata,multi,400,1e-08,1.0
sensordata,multi,600,0.0001,1.0
sensordata,multi,600,0.01,0.9986
sensordata,multi,600,0.05,0.9719
sensordata,multi,600,0.1,0.9719
sensordata,multi,600,1e-08,1.0
sensordata,multi,800,0.0001,1.0
sensordata,multi,800,0.01,0.9999
sensordata,multi,800,0.05,0.9803
sensordata,multi,800,0.1,0.933
sensordata,multi,800,1e-08,1.0
sensordata,plus,1000,0.0001,1.0
sensordata,plus,1000,0.01,0.9987
sensordata,plus,1000,0.05,0.9922
sensordata,plus,1000,0.1,0.9646
sensordata,plus,1000,1e-08,1.0
sensordata,plus,1200,0.0001,1.0
sensordata,plus,1200,0.01,0.996
sensordata,plus,1200,0.05,0.9669
sensordata,plus,1200,0.1,0.9669
sensordata,plus,1200,1e-08,1.0
sensordata,plus,200,0.0001,1.0
sensordata,plus,200,0.01,0.9951
sensordata,plus,200,0.05,0.9638
sensordata,plus,200,0.1,0.9638
sensordata,plus,200,1e-08,1.0
sensordata,plus,400,0.0001,1.0
sensordata,plus,400,0.01,0.9947
sensordata,plus,400,0.05,0.975
sensordata,plus,400,0.1,0.9527
sensordata,plus,400,1e-08,1.0
sensordata,plus,600,0.0001,1.0
sensordata,plus,600,0.01,0.9955
sensordata,plus,600,0.05,0.9865
sensordata,plus,600,0.1,0.9578
sensordata,plus,600,1e-08,1.0
sensordata,plus,800,0.0001,1.0
sensordata,plus,800,0.01,0.9963
sensordata,plus,800,0.05,0.9894
sensordata,plus,800,0.1,0.964
sensordata,plus,800,1e-08,1.0
sensordata,variance,1000,0.0001,1.0
sensordata,variance,1000,0.01,0.9999
sensordata,variance,1000,0.05,0.9999
sensordata,variance,1000,0.1,0.9999
sensordata,variance,1000,1e-08,1.0
sensordata,variance,1200,0.0001,1.0
sensordata,variance,1200,0.01,0.9999
sensordata,variance,1200,0.05,0.9999
sensordata,variance,1200,0.1,0.9999
sensordata,variance,1200,1e-08,1.0
sensordata,variance,200,0.0001,1.0
sensordata,variance,200,0.01,0.9997
sensordata,variance,200,0.05,0.9997
sensordata,variance,200,0.1,0.9997
sensordata,variance,200,1e-08,1.0
sensordata,variance,400,0.0001,1.0
sensordata,variance,400,0.01,0.9997
sensordata,variance,400,0.05,0.9997
sensordata,variance,400,0.1,0.9997
sensordata,variance,400,1e-08,1.0
sensordata,variance,600,0.0001,1.0
sensordata,variance,600,0.01,0.9997
sensordata,variance,600,0.05,0.9997
sensordata,variance,600,0.1,0.9997
sensordata,variance,600,1e-08,1.0
sensordata,variance,800,0.0001,1.0
sensordata,variance,800,0.01,1.0
sensordata,variance,800,0.05,1.0
sensordata,variance,800,0.1,1.0
sensordata,variance,800,1e-08,1.0
sensordata,weightsum,1000,0.0001,1.0
sensordata,weightsum,1000,0.01,1.0
sensordata,weightsum,1000,0.05,1.0
sensordata,weightsum,1000,0.1,1.0
sensordata,weightsum,1000,1e-08,1.0
sensordata,weightsum,1200,0.0001,1.0
sensordata,weightsum,1200,0.01,1.0
sensordata,weightsum,1200,0.05,1.0
sensordata,weightsum,1200,0.1,1.0
sensordata,weightsum,1200,1e-08,1.0
sensordata,weightsum,200,0.0001,1.0
sensordata,weightsum,200,0.01,0.9998
sensordata,weightsum,200,0.05,0.9998
sensordata,weightsum,200,0.1,0.9998
sensordata,weightsum,200,1e-08,1.0
sensordata,weightsum,400,0.0001,1.0
sensordata,weightsum,400,0.01,0.9999
sensordata,weightsum,400,0.05,0.9999
sensordata,weightsum,400,0.1,0.9999
sensordata,weightsum,400,1e-08,1.0
sensordata,weightsum,600,0.0001,1.0
sensordata,weightsum,600,0.01,0.9999
sensordata,weightsum,600,0.05,0.9999
sensordata,weightsum,600,0.1,0.9999
sensordata,weightsum,600,1e-08,1.0
