table,function,metric,ssim,estimateerrorbound,pixerror
synthetic32m,func1,ee,1.0,0.0,0.0
synthetic32m,L2,ee,0.9798,0.036,0.013
synthetic32m,L22,ee,0.9768,0.025,0.014
synthetic32m,L2LN,ee,0.9839,0.02,0.01
synthetic32m,max,ee,0.989,0.007,0.006
synthetic32m,mean,ee,0.9764,0.047,0.016
synthetic32m,minus,ee,0.9902,0.009,0.004
synthetic32m,multi,ee,0.9954,0.004,0.002
synthetic32m,plus,ee,0.9698,0.038,0.021
synthetic32m,variance,ee,0.9683,0.049,0.02
synthetic32m,weightsum,ee,0.9709,0.045,0.019
synthetic4m,boxcox0,ee,1.0,0.0,0.0
synthetic4m,divide,ee,0.9726,0.027,0.024
synthetic4m,func1,ee,1.0,0.0,0.0
synthetic4m,L2,ee,0.9932,0.013,0.003
synthetic4m,L22,ee,0.9899,0.008,0.004
synthetic4m,L2LN,ee,0.969,0.046,0.021
synthetic4m,max,ee,0.9837,0.01,0.01
synthetic4m,mean,ee,0.9892,0.032,0.005
synthetic4m,minus,ee,0.9844,0.015,0.006
synthetic4m,multi,ee,0.9918,0.009,0.004
synthetic4m,plus,ee,0.9886,0.013,0.006
synthetic4m,variance,ee,0.9912,0.016,0.004
synthetic4m,weightsum,ee,0.9917,0.017,0.004
synthetic512m,boxcox0,ee,1.0,0.0,0.0
synthetic512m,divide,ee,1.0,0.001,0.0
synthetic512m,func1,ee,1.0,0.0,0.0
synthetic512m,L2,ee,0.9925,0.02,0.003
synthetic512m,L22,ee,0.967,0.04,0.021
synthetic512m,L2LN,ee,0.9804,0.024,0.014
synthetic512m,max,ee,0.9848,0.01,0.009
synthetic512m,mean,ee,0.9921,0.023,0.003
synthetic512m,minus,ee,0.9781,0.015,0.007
synthetic512m,multi,ee,0.9919,0.009,0.003
synthetic512m,plus,ee,0.9647,0.043,0.023
synthetic512m,variance,ee,0.9891,0.018,0.005
synthetic512m,weightsum,ee,0.9707,0.048,0.02
synthetic64m,boxcox0,ee,1.0,0.0,0.0
synthetic64m,divide,ee,0.9781,0.033,0.016
synthetic64m,func1,ee,1.0,0.0,0.0
synthetic64m,L2,ee,0.9788,0.026,0.012
synthetic64m,L22,ee,0.972,0.031,0.018
synthetic64m,L2LN,ee,0.9751,0.031,0.016
synthetic64m,max,ee,0.9879,0.007,0.007
synthetic64m,mean,ee,0.9924,0.021,0.003
synthetic64m,minus,ee,0.9601,0.043,0.024
synthetic64m,multi,ee,0.9954,0.006,0.002
synthetic64m,plus,ee,0.9924,0.008,0.003
synthetic64m,variance,ee,0.9921,0.018,0.003
synthetic64m,weightsum,ee,0.9926,0.017,0.003
synthetic8m,boxcox0,ee,1.0,0.0,0.0
synthetic8m,divide,ee,0.9998,0.0,0.0
synthetic8m,func1,ee,1.0,0.0,0.0
synthetic8m,L2,ee,0.9799,0.035,0.012
synthetic8m,L22,ee,0.98,0.019,0.011
synthetic8m,L2LN,ee,0.9857,0.018,0.009
synthetic8m,max,ee,0.9893,0.006,0.006
synthetic8m,mean,ee,0.976,0.046,0.016
synthetic8m,minus,ee,0.9919,0.008,0.003
synthetic8m,multi,ee,0.9659,0.041,0.022
synthetic8m,plus,ee,0.9774,0.025,0.013
synthetic8m,variance,ee,0.9896,0.016,0.004
synthetic8m,weightsum,ee,0.9715,0.047,0.02
traffic,boxcox0,ee,1.0,0.0,0.0
traffic,divide,ee,0.9802,0.03,0.011
traffic,func1,ee,0.997,0.003,0.003
traffic,L2,ee,0.9909,0.042,0.005
traffic,L22,ee,0.9635,0.049,0.02
traffic,L2LN,ee,0.9918,0.05,0.003
traffic,max,ee,0.9783,0.024,0.014
traffic,mean,ee,0.9952,0.05,0.002
traffic,minus,ee,0.9676,0.048,0.02
traffic,multi,ee,0.9825,0.023,0.01
traffic,plus,ee,0.9716,0.031,0.015
traffic,variance,ee,0.9795,0.039,0.011
traffic,weightsum,ee,0.99,0.044,0.005
nycdata,boxcox0,ec,1.0,0.0,0.0
nycdata,divide,ec,0.9444,0.044,0.04
nycdata,func1,ec,1.0,0.0,0.0
nycdata,L2,ec,0.9908,0.021,0.005
nycdata,L22,ec,0.9922,0.018,0.004
nycdata,L2LN,ec,0.9926,0.049,0.004
nycdata,max,ec,0.9986,0.001,0.001
nycdata,mean,ec,0.9932,0.039,0.004
nycdata,minus,ec,0.9676,0.028,0.023
nycdata,multi,ec,0.9713,0.049,0.019
nycdata,plus,ec,0.9817,0.044,0.011
nycdata,variance,ec,0.9966,0.007,0.002
nycdata,weightsum,ec,0.9947,0.018,0.003
sensordata,boxcox0,ec,1.0,0.0,0.0
sensordata,divide,ec,0.9927,0.005,0.004
sensordata,func1,ec,1.0,0.0,0.0
sensordata,L2,ec,1.0,0.0,0.0
sensordata,L22,ec,0.9534,0.044,0.031
sensordata,L2LN,ec,0.9743,0.047,0.023
sensordata,max,ec,1.0,0.0,0.0
sensordata,mean,ec,0.9995,0.001,0.0
sensordata,minus,ec,0.9963,0.004,0.002
sensordata,multi,ec,0.9748,0.04,0.015
sensordata,plus,ec,0.9882,0.019,0.007
sensordata,variance,ec,1.0,0.0,0.0
sensordata,weightsum,ec,0.9999,0.0,0.0
soccerdata,boxcox0,ec,1.0,0.0,0.0
soccerdata,divide,ec,0.9986,0.046,0.001
soccerdata,func1,ec,1.0,0.0,0.0
soccerdata,L2,ec,0.9937,0.007,0.004
soccerdata,L22,ec,0.9997,0.0,0.0
soccerdata,L2LN,ec,0.9952,0.05,0.003
soccerdata,max,ec,0.9913,0.011,0.01
soccerdata,mean,ec,0.9565,0.038,0.024
soccerdata,minus,ec,0.9837,0.012,0.01
soccerdata,multi,ec,0.9877,0.011,0.006
soccerdata,plus,ec,0.9995,0.0,0.0
soccerdata,variance,ec,0.9988,0.001,0.001
soccerdata,weightsum,ec,0.992,0.013,0.005
stockdata,boxcox0,ec,0.9999,0.0,0.0
stockdata,divide,ec,0.9585,0.035,0.027
stockdata,func1,ec,1.0,0.0,0.0
stockdata,L2,ec,0.9997,0.0,0.0
stockdata,L22,ec,1.0,0.0,0.0
stockdata,L2LN,ec,0.9738,0.046,0.018
stockdata,max,ec,0.9999,0.0,0.0
stockdata,mean,ec,0.9988,0.002,0.001
stockdata,minus,ec,1.0,0.0,0.0
stockdata,multi,ec,1.0,0.0,0.0
stockdata,plus,ec,1.0,0.0,0.0
stockdata,variance,ec,1.0,0.0,0.0
stockdata,weightsum,ec,0.9995,0.001,0.0
synthetic128m,boxcox0,ec,1.0,0.0,0.0
synthetic128m,divide,ec,0.9995,0.001,0.0
synthetic128m,func1,ec,1.0,0.0,0.0
synthetic128m,L2,ec,0.9806,0.019,0.009
synthetic128m,L22,ec,0.9951,0.005,0.002
synthetic128m,L2LN,ec,0.9637,0.046,0.029
synthetic128m,max,ec,0.9843,0.01,0.009
synthetic128m,mean,ec,0.9714,0.038,0.015
synthetic128m,minus,ec,0.9755,0.015,0.008
synthetic128m,multi,ec,0.993,0.006,0.003
synthetic128m,plus,ec,0.9883,0.013,0.005
synthetic128m,variance,ec,0.9869,0.019,0.006
synthetic128m,weightsum,ec,0.9808,0.019,0.009
synthetic16m,boxcox0,ec,1.0,0.0,0.0
synthetic16m,divide,ec,0.9993,0.001,0.0
synthetic16m,func1,ec,1.0,0.0,0.0
synthetic16m,L2,ec,0.9764,0.043,0.015
synthetic16m,L22,ec,0.9942,0.005,0.003
synthetic16m,L2LN,ec,0.9687,0.037,0.021
synthetic16m,max,ec,0.9828,0.011,0.01
synthetic16m,mean,ec,0.9902,0.018,0.004
synthetic16m,minus,ec,0.9898,0.017,0.005
synthetic16m,multi,ec,0.9897,0.009,0.005
synthetic16m,plus,ec,0.9878,0.012,0.006
synthetic16m,variance,ec,0.9721,0.032,0.015
synthetic16m,weightsum,ec,0.9745,0.041,0.015
synthetic1b,boxcox0,ec,1.0,0.0,0.0
synthetic1b,divide,ec,0.9873,0.026,0.012
synthetic1b,func1,ec,1.0,0.0,0.0
synthetic1b,L2,ec,0.9789,0.033,0.012
synthetic1b,L22,ec,0.9925,0.007,0.003
synthetic1b,L2LN,ec,0.9705,0.039,0.023
synthetic1b,max,ec,0.9869,0.008,0.008
synthetic1b,mean,ec,0.9866,0.025,0.006
synthetic1b,minus,ec,0.9829,0.018,0.006
synthetic1b,multi,ec,0.9665,0.029,0.017
synthetic1b,plus,ec,0.987,0.019,0.006
