method,data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,plus,500,0,999999999,17,0.104,5409368,0.0,126526,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,weightsum,500,0,999999999,26,0.274,5409368,0.0,172281,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,multi,500,0,999999999,17,0.098,5409368,0.0,110720,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,2I3,0.0,multi,500,0,999999999,13,0.094,5409368,0.0,106204,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,max,500,0,999999999,3,0.172,5409368,0.0,47297,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,weightsum,500,0,999999999,26,0.262,5409368,0.0,172133,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomup,1I2I3I4I5,0.0,weightsum,500,250000000,749999999,28,0.278,5409368,0.0,161872,1.0
ours-cpp-16,synthetic1b5v,interaction-paningleft,1I2I3I4I5,0.0,weightsum,500,158235950,658235949,42,0.239,5409368,0.0,156846,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,L2LN,500,158235950,658235949,34,0.218,5409368,0.0,143382,1.0
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.0,L2LN,450,158235950,658235949,34,0.211,5409368,0.0,132087,1.0
ours-cpp-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0.0,L2LN,500,158235950,658235949,34,0.216,5409368,0.0,138932,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,func1,500,158235950,658235949,0,0.027,5409368,0.0,21963,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,L2LN,500,158235950,658235949,34,0.208,5409368,0.0,142197,1.0
