experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,soccerdata,plus,0,1200,0.275,0.107,0.9961,0.3857917785644531
OM3,soccerdata,plus,0,200,0.067,0.031,0.9952,0.4081153869628906
OM3,soccerdata,plus,0,400,0.097,0.044,0.9955,0.3688697814941406
OM3,soccerdata,plus,0,600,0.125,0.064,0.9958,0.2904624938964844
OM3,soccerdata,plus,0,800,0.196,0.088,0.996,0.385284423828125
OM3,soccerdata,variance,0,1000,0.472,0.14,0.9912,0.4361763000488281
OM3,soccerdata,variance,0,1200,0.595,0.134,0.9921,0.3847999572753906
OM3,soccerdata,variance,0,200,0.109,0.035,0.9297,0.43061065673828125
OM3,soccerdata,variance,0,400,0.201,0.066,0.9862,0.4779510498046875
OM3,soccerdata,variance,0,600,0.288,0.087,0.9883,0.3596687316894531
OM3,soccerdata,variance,0,800,0.365,0.108,0.9908,0.3871574401855469
OM3,soccerdata,weightsum,0,1000,0.479,0.135,0.888,0.436859130859375
OM3,soccerdata,weightsum,0,1200,0.562,0.131,0.8943,0.3857765197753906
OM3,soccerdata,weightsum,0,200,0.112,0.039,0.8629,0.43090057373046875
OM3,soccerdata,weightsum,0,400,0.206,0.068,0.8661,0.478240966796875
OM3,soccerdata,weightsum,0,600,0.284,0.087,0.8731,0.3596687316894531
OM3,soccerdata,weightsum,0,800,0.383,0.109,0.8819,0.3877143859863281
OM3,stockdata,boxcox0,0,1000,0.114,0.065,0.9999,0.4336357116699219
OM3,stockdata,boxcox0,0,1200,0.133,0.076,0.9999,0.4341468811035156
OM3,stockdata,boxcox0,0,200,0.024,0.016,0.9999,0.43251800537109375
OM3,stockdata,boxcox0,0,400,0.048,0.033,0.9999,0.43251800537109375
OM3,stockdata,boxcox0,0,600,0.07,0.043,0.9999,0.376495361328125
OM3,stockdata,boxcox0,0,800,0.089,0.059,0.9999,0.432861328125
OM3,stockdata,devide,0,1000,0.158,0.076,0.9333,0.3900337219238281
OM3,stockdata,devide,0,1200,0.193,0.09,0.9301,0.3881416320800781
OM3,stockdata,devide,0,200,0.033,0.02,0.9128,0.3881416320800781
OM3,stockdata,devide,0,400,0.074,0.04,0.9137,0.38838958740234375
OM3,stockdata,devide,0,600,0.105,0.055,0.9228,0.2658042907714844
OM3,stockdata,devide,0,800,0.129,0.066,0.9236,0.389739990234375
OM3,stockdata,func1,0,1000,0.122,0.07,1.0,0.43207550048828125
OM3,stockdata,func1,0,1200,0.133,0.088,1.0,0.432586669921875
OM3,stockdata,func1,0,200,0.047,0.028,1.0,0.4358940124511719
OM3,stockdata,func1,0,400,0.059,0.046,1.0,0.4309196472167969
OM3,stockdata,func1,0,600,0.079,0.057,1.0,0.3762168884277344
OM3,stockdata,func1,0,800,0.108,0.058,1.0,0.4312324523925781
OM3,stockdata,L2,0,1000,0.354,0.101,0.9958,0.4959144592285156
OM3,stockdata,L2,0,1200,0.392,0.111,0.9962,0.5051651000976562
OM3,stockdata,L2,0,200,0.107,0.03,0.9914,0.52691650390625
OM3,stockdata,L2,0,400,0.242,0.078,0.9934,0.5191726684570312
OM3,stockdata,L2,0,600,0.305,0.091,0.9947,0.2749137878417969
OM3,stockdata,L2,0,800,0.26,0.093,0.9953,0.4899864196777344
OM3,stockdata,L22,0,1000,0.139,0.066,0.9999,0.4987030029296875
OM3,stockdata,L22,0,1200,0.183,0.077,1.0,0.4981803894042969
OM3,stockdata,L22,0,200,0.025,0.016,1.0,0.4968109130859375
OM3,stockdata,L22,0,400,0.047,0.029,1.0,0.4968109130859375
OM3,stockdata,L22,0,600,0.062,0.041,1.0,0.28076171875
OM3,stockdata,L22,0,800,0.104,0.053,1.0,0.4984092712402344
OM3,stockdata,L2LN,0,1000,0.38,0.11,0.9126,0.501678466796875
OM3,stockdata,L2LN,0,1200,0.483,0.117,0.905,0.5037498474121094
OM3,stockdata,L2LN,0,200,0.091,0.037,0.9184,0.4981803894042969
OM3,stockdata,L2LN,0,400,0.2,0.07,0.9119,0.4970283508300781
OM3,stockdata,L2LN,0,600,0.21,0.081,0.9065,0.2820396423339844
OM3,stockdata,L2LN,0,800,0.269,0.093,0.9134,0.5010948181152344
OM3,stockdata,max,0,1000,0.547,0.124,1.0,0.5194168090820312
OM3,stockdata,max,0,1200,0.634,0.153,1.0,0.52691650390625
OM3,stockdata,max,0,200,0.145,0.038,1.0,0.4483299255371094
OM3,stockdata,max,0,400,0.218,0.064,1.0,0.4491004943847656
OM3,stockdata,max,0,600,0.305,0.09,1.0,0.27332305908203125
OM3,stockdata,max,0,800,0.394,0.105,1.0,0.4552116394042969
OM3,stockdata,mean,0,1000,0.532,0.137,0.9868,0.3996467590332031
OM3,stockdata,mean,0,1200,0.668,0.161,0.9881,0.4002685546875
OM3,stockdata,mean,0,200,0.115,0.041,0.9713,0.3881416320800781
OM3,stockdata,mean,0,400,0.218,0.075,0.9786,0.3888053894042969
OM3,stockdata,mean,0,600,0.365,0.1,0.9827,0.27124786376953125
OM3,stockdata,mean,0,800,0.42,0.115,0.9848,0.399200439453125
OM3,stockdata,minus,0,1000,0.161,0.079,1.0,0.388275146484375
OM3,stockdata,minus,0,1200,0.192,0.091,1.0,0.3878936767578125
OM3,stockdata,minus,0,200,0.035,0.021,1.0,0.4594612121582031
OM3,stockdata,minus,0,400,0.074,0.04,1.0,0.4672203063964844
OM3,stockdata,minus,0,600,0.123,0.057,1.0,0.2658042907714844
OM3,stockdata,minus,0,800,0.135,0.067,1.0,0.38787078857421875
OM3,stockdata,multi,0,1000,0.157,0.077,0.9986,0.3897857666015625
OM3,stockdata,multi,0,1200,0.196,0.093,0.9989,0.3881416320800781
OM3,stockdata,multi,0,200,0.031,0.018,0.9949,0.3878936767578125
OM3,stockdata,multi,0,400,0.074,0.04,0.9962,0.3881416320800781
OM3,stockdata,multi,0,600,0.1,0.052,0.9976,0.2658042907714844
OM3,stockdata,multi,0,800,0.128,0.067,0.9982,0.3894920349121094
OM3,stockdata,plus,0,1000,0.153,0.081,1.0,0.4368171691894531
OM3,stockdata,plus,0,1200,0.192,0.092,1.0,0.45442962646484375
OM3,stockdata,plus,0,200,0.037,0.021,1.0,0.4341468811035156
OM3,stockdata,plus,0,400,0.076,0.041,1.0,0.43439483642578125
OM3,stockdata,plus,0,600,0.107,0.056,1.0,0.26555633544921875
OM3,stockdata,plus,0,800,0.131,0.067,1.0,0.43575286865234375
OM3,stockdata,variance,0,1000,0.557,0.137,0.9999,0.42281341552734375
OM3,stockdata,variance,0,1200,0.666,0.16,0.9999,0.45841217041015625
OM3,stockdata,variance,0,200,0.105,0.032,0.9997,0.4002685546875
OM3,stockdata,variance,0,400,0.22,0.074,0.9998,0.4009208679199219
OM3,stockdata,variance,0,600,0.326,0.091,0.9999,0.2734832763671875
OM3,stockdata,variance,0,800,0.471,0.114,0.9999,0.4207954406738281
OM3,stockdata,weightsum,0,1000,0.344,0.102,0.9928,0.5015411376953125
OM3,stockdata,weightsum,0,1200,0.433,0.107,0.9934,0.5051651000976562
OM3,stockdata,weightsum,0,200,0.076,0.027,0.9873,0.4968109130859375
OM3,stockdata,weightsum,0,400,0.149,0.057,0.9903,0.4974937438964844
OM3,stockdata,weightsum,0,600,0.246,0.08,0.9923,0.2766532897949219
OM3,stockdata,weightsum,0,800,0.267,0.089,0.9928,0.4997406005859375
OM3,synthetic128m,boxcox0,0,1000,0.366,0.166,1.0,0.4585227966308594
OM3,synthetic128m,boxcox0,0,1200,0.429,0.208,1.0,0.4589385986328125
OM3,synthetic128m,boxcox0,0,200,0.18,0.053,1.0,0.45702362060546875
OM3,synthetic128m,boxcox0,0,400,0.21,0.064,1.0,0.4571342468261719
OM3,synthetic128m,boxcox0,0,600,0.29,0.124,1.0,0.3900718688964844
OM3,synthetic128m,boxcox0,0,800,0.343,0.169,1.0,0.4578971862792969
OM3,synthetic128m,devide,0,1000,0.573,0.212,0.9981,0.5850257873535156
