method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,soccerdata,0.01,L2,1000,1,0.127,0.0066,55340,0.253326416015625
our-cpp,soccerdata,0.01,L2,1200,1,0.147,0.0067,64864,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,200,3,0.033,0.0049,19631,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,400,2,0.059,0.0069,30662,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,600,2,0.086,0.0052,44689,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,800,2,0.112,0.0053,58090,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,1000,1,0.128,0.0093,55887,0.253326416015625
our-cpp,soccerdata,0.01,weightsum,1200,1,0.193,0.0095,66699,0.253326416015625
our-cpp,soccerdata,0.01,L22,200,1,0.014,0.0002,4640,0.253326416015625
our-cpp,soccerdata,0.01,L22,400,1,0.022,0.0003,8135,0.253326416015625
our-cpp,soccerdata,0.01,L22,600,1,0.03,0.0002,11036,0.253326416015625
our-cpp,soccerdata,0.01,L22,800,1,0.034,0.0003,14035,0.253326416015625
our-cpp,soccerdata,0.01,L22,1000,1,0.042,0.0002,17359,0.253326416015625
our-cpp,soccerdata,0.01,L22,1200,1,0.049,0.0002,19899,0.253326416015625
our-cpp,soccerdata,0.01,L2LN,200,164,0.134,0.01,117293,0.253326416015625
our-cpp,soccerdata,0.01,L2LN,400,107,0.197,0.01,168528,0.253326416015625
our-cpp,soccerdata,0.01,L2LN,600,83,0.247,0.0099,213623,0.253326416015625
our-cpp,soccerdata,0.01,L2LN,800,70,0.288,0.0096,250961,0.253326416015625
our-cpp,soccerdata,0.01,L2LN,1000,60,0.323,0.0096,281664,0.25357818603515625
our-cpp,soccerdata,0.01,L2LN,1200,53,0.367,0.0097,313530,0.25559234619140625
our-cpp,soccerdata,0.0,func1,200,0,0.021,0.0,1140,0.25559234619140625
our-cpp,soccerdata,0.0,func1,400,0,0.013,0.0,2139,0.25559234619140625
our-cpp,soccerdata,0.0,func1,600,0,0.016,0.0,3073,0.25559234619140625
our-cpp,soccerdata,0.0,func1,800,0,0.019,0.0,4008,0.25559234619140625
our-cpp,soccerdata,0.0,func1,1000,0,0.021,0.0,4874,0.25559234619140625
our-cpp,soccerdata,0.0,func1,1200,0,0.022,0.0,5743,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,200,0,0.004,0.0,1140,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,400,0,0.008,0.0,2139,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,600,0,0.011,0.0,3073,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,800,0,0.015,0.0,4008,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,1000,0,0.017,0.0,4874,0.25559234619140625
our-cpp,soccerdata,0.0,boxcox0,1200,0,0.02,0.0,5743,0.25559234619140625
our-cpp,soccerdata,0.0,plus,200,6,0.02,0.0,6171,0.2574005126953125
our-cpp,soccerdata,0.0,plus,400,8,0.023,0.0,8585,0.2574005126953125
our-cpp,soccerdata,0.0,plus,600,7,0.031,0.0,12165,0.2574005126953125
our-cpp,soccerdata,0.0,plus,800,5,0.037,0.0,15275,0.2574005126953125
our-cpp,soccerdata,0.0,plus,1000,6,0.045,0.0,18580,0.2574005126953125
our-cpp,soccerdata,0.0,plus,1200,7,0.054,0.0,21825,0.2574005126953125
our-cpp,soccerdata,0.0,minus,200,17,0.016,0.0,7118,0.2574005126953125
our-cpp,soccerdata,0.0,minus,400,13,0.025,0.0,11053,0.2574005126953125
our-cpp,soccerdata,0.0,minus,600,10,0.036,0.0,15371,0.2574005126953125
our-cpp,soccerdata,0.0,minus,800,9,0.044,0.0,18545,0.2574005126953125
our-cpp,soccerdata,0.0,minus,1000,8,0.05,0.0,21850,0.2574005126953125
our-cpp,soccerdata,0.0,minus,1200,7,0.056,0.0,24952,0.2574005126953125
our-cpp,soccerdata,0.0,multi,200,6,0.013,0.0,6000,0.2574005126953125
our-cpp,soccerdata,0.0,multi,400,8,0.023,0.0,11093,0.2574005126953125
