method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic128m,plus,12000,0.862,2.5214920043945312
DUCK-F-AM4,synthetic128m,variance,12000,1.806,2.780651092529297
DUCK-F-AM4,synthetic128m,weightsum,12000,1.108,3.549175262451172
DUCK-F-AM4,synthetic16m,boxcox0,12000,0.168,0.7135391235351562
DUCK-F-AM4,synthetic16m,devide,12000,0.152,1.0795783996582031
DUCK-F-AM4,synthetic16m,func1,12000,0.174,0.5219688415527344
DUCK-F-AM4,synthetic16m,L22,12000,0.195,1.3856964111328125
DUCK-F-AM4,synthetic16m,L2LN,12000,0.355,1.4448394775390625
DUCK-F-AM4,synthetic16m,L2,12000,0.275,1.5756378173828125
DUCK-F-AM4,synthetic16m,max,12000,0.205,1.2853012084960938
DUCK-F-AM4,synthetic16m,mean,12000,0.187,1.1960220336914062
DUCK-F-AM4,synthetic16m,minus,12000,0.14,0.8549957275390625
DUCK-F-AM4,synthetic16m,multi,12000,0.143,0.9881477355957032
DUCK-F-AM4,synthetic16m,plus,12000,0.151,0.7503776550292969
DUCK-F-AM4,synthetic16m,variance,12000,0.354,1.365802764892578
DUCK-F-AM4,synthetic16m,weightsum,12000,0.18,1.2469978332519531
DUCK-F-AM4,synthetic1b5v,boxcox0,12000,6.948,23.65082550048828
DUCK-F-AM4,synthetic1b5v,devide,12000,6.642,37.09487915039063
DUCK-F-AM4,synthetic1b5v,func1,12000,7.249,23.57661819458008
DUCK-F-AM4,synthetic1b5v,L22,12000,8.341,41.00450897216797
DUCK-F-AM4,synthetic1b5v,L2LN,12000,14.151,42.67928314208984
DUCK-F-AM4,synthetic1b5v,L2,12000,11.605,23.008968353271484
DUCK-F-AM4,synthetic1b5v,max,12000,8.838,45.57172775268555
DUCK-F-AM4,synthetic1b5v,mean,12000,7.81,47.07172393798828
DUCK-F-AM4,synthetic1b5v,minus,12000,6.447,39.48439025878906
DUCK-F-AM4,synthetic1b5v,multi,12000,6.447,39.513954162597656
DUCK-F-AM4,synthetic1b5v,plus,12000,6.508,39.43184661865234
DUCK-F-AM4,synthetic1b5v,variance,12000,14.218,47.780521392822266
DUCK-F-AM4,synthetic1b5v,weightsum,12000,7.583,45.59830474853516
DUCK-F-AM4,synthetic1m,boxcox0,12000,0.043,0.4793167114257812
DUCK-F-AM4,synthetic1m,devide,12000,0.041,0.9067230224609376
DUCK-F-AM4,synthetic1m,func1,12000,0.055,0.3117485046386719
DUCK-F-AM4,synthetic1m,L22,12000,0.068,1.1737174987792969
DUCK-F-AM4,synthetic1m,L2LN,12000,0.082,1.038166046142578
DUCK-F-AM4,synthetic1m,L2,12000,0.054,1.1704978942871094
DUCK-F-AM4,synthetic1m,max,12000,0.063,0.9632186889648438
DUCK-F-AM4,synthetic1m,mean,12000,0.037,0.7964057922363281
DUCK-F-AM4,synthetic1m,minus,12000,0.046,0.6595649719238281
DUCK-F-AM4,synthetic1m,multi,12000,0.043,0.720947265625
DUCK-F-AM4,synthetic1m,plus,12000,0.044,0.5452766418457031
DUCK-F-AM4,synthetic1m,variance,12000,0.072,0.9061203002929688
DUCK-F-AM4,synthetic1m,weightsum,12000,0.04,0.9224472045898438
